id,association_id,artist_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,2,18
19,2,19
20,2,20
21,2,21
22,2,22
23,2,23
24,2,24
25,2,25
26,2,26
27,2,27
28,2,28
29,2,29
30,2,30
31,2,31
32,3,32
33,3,33
34,3,34
35,3,35
36,3,36
37,3,37
38,3,38
39,3,25
40,3,39
41,3,40
42,3,41
43,3,42
44,3,43
45,3,44
46,4,45
47,4,46
48,4,47
49,4,48
50,4,49
51,4,50
52,4,51
53,4,52
54,4,24
55,4,53
56,4,54
57,4,55
58,4,56
59,4,57
60,4,58
61,4,59
62,4,60
63,4,61
64,5,62
65,5,63
66,5,64
67,5,65
68,5,66
69,5,67
70,5,68
71,5,69
72,5,70
73,5,71
74,5,72
75,5,73
76,5,74
77,5,75
78,5,76
79,5,77
80,5,78
81,5,79
82,5,80
83,5,81
84,5,82
85,5,83
86,5,84
87,5,85
88,5,86
89,5,87
90,5,88
91,5,89
92,5,90
93,5,91
94,5,92
95,5,93
96,5,7
97,5,94
98,5,95
99,5,96
100,5,97
101,5,98
102,5,99
103,5,100
104,5,101
105,5,102
106,5,103
107,5,104
108,5,105
109,5,106
110,5,107
111,5,108
112,5,109
113,5,110
114,5,111
115,5,112
116,5,113
117,5,114
118,5,115
119,5,116
120,5,117
121,5,118
122,5,119
123,5,120
124,5,121
125,5,30
126,5,122
127,5,123
128,5,124
129,5,125
130,5,126
131,5,127
132,5,128
133,5,129
134,5,130
135,5,131
136,5,132
137,5,133
138,5,134
139,5,135
140,5,136
141,5,137
142,5,138
143,5,139
144,5,140
145,5,141
146,5,142
147,5,143
148,6,144
149,6,145
150,6,146
151,6,147
152,6,148
153,6,149
154,6,150
155,6,151
156,6,152
157,6,153
158,6,154
159,6,155
160,6,156
161,6,157
162,6,158
163,6,159
164,6,160
165,6,161
166,6,162
