id,association_id,artist_id
1,2,24
2,3,25
3,5,66
4,5,67
5,5,73
6,5,74
7,5,75
8,5,87
9,5,88
10,5,7
11,5,95
12,5,97
13,5,99
14,5,104
15,5,108
16,5,111
17,5,112
18,5,30
19,5,122
20,5,127
21,5,128
22,5,129
23,6,146
24,6,149
25,6,151
26,6,153
27,6,160
28,6,163
29,6,164
30,6,89
31,6,167
32,6,169
33,6,52
34,6,170
35,6,171
36,6,172
37,6,53
38,6,178
39,6,180
40,6,181
41,6,183
42,6,185
43,6,188
44,6,189
45,6,198
46,6,199
47,6,200
48,6,201
49,6,205
50,7,133
51,8,247
52,13,317
53,15,326
54,15,327
55,15,325
56,15,328
57,16,313
58,18,729
59,18,730
60,18,731
61,18,350
62,18,352
63,18,353
64,18,354
65,18,356
66,18,732
67,18,733
68,19,313
69,19,332
70,19,316
71,19,333
72,19,369
73,20,348
74,20,734
75,20,311
76,20,384
77,20,482
78,20,675
79,20,677
80,21,87
81,21,91
82,21,99
83,21,112
84,21,385
85,21,343
86,21,345
87,21,347
88,21,7
89,21,122
90,22,437
91,22,440
92,22,25
93,22,456
94,22,247
95,22,460
96,22,461
97,23,429
98,23,469
99,23,360
100,23,313
101,23,332
102,23,473
103,23,1
104,23,6
105,23,315
106,23,334
107,23,368
108,23,491
109,24,655
110,24,66
111,24,497
112,24,75
113,24,498
114,24,27
115,24,426
116,24,504
117,24,728
118,24,130
119,25,505
120,25,507
121,25,508
122,25,509
123,25,510
124,25,514
125,25,522
126,25,523
127,25,524
128,25,526
129,25,527
130,25,536
131,25,537
132,25,539
133,25,542
134,25,548
135,25,551
136,25,554
137,26,175
138,26,561
139,27,385
140,27,343
141,27,572
142,27,347
143,27,7
144,27,31
145,28,247
146,28,583
147,30,347
148,31,644
149,32,402
150,33,687
151,35,252
152,35,24
153,37,104
154,39,451
155,39,702
156,39,703
157,39,704
158,41,211
